"","specs_poly","specs_mono","weights_poly","weights_mono","M_mass_poly","M_mass_mono","F_mass_poly","F_mass_mono","Clutch_size_poly","Clutch_size_mono","Egg_mass_poly","Egg_mass_mono","Mating_System_poly","Mating_System_mono","dnnuc_poly","dnnuc_mono","dsnuc_poly","dsnuc_mono","dndsnuc_poly","dndsnuc_mono","sprich_poly","sprich_mono","overallmol_poly","overallmol_mono"
"Phaethornis","Phaethornis","Apus",0.0179640718562874,0.0186915887850467,275.516666666667,39,317.55,40.3,1.995,3.035,0.643333333333333,2.71,4.5,2,0.0588241561047736,0.0822334195847303,0.1488225288319,0.178261452782806,0.395263785439484,0.461307917673731,334,107,0.097692,0.091573
"Vanellus","Vanellus","Charadrius",0.130434782608696,0.375,136.7,68.3454545454545,130.65,66.1545454545455,3.79666666666667,3.00333333333333,18.3966666666667,13.4571428571429,3,2,0.0172308831234971,0.00409177238233134,0.0372044442918819,0.0125773753950865,0.463140451401848,0.32532799998399,23,32,0.038086,0.070918
"Pedionomus","Pedionomus","Attagis",1,0.5,54,222.5,72.4,125,3.6,NA,10,15.5,1,2,0.0211989672719384,0.0261241617766068,0.0645805869341964,0.0597253900925454,0.328256032939726,0.437404623663856,1,4,0.091274,0.070952
"Calidris","Calidris","Arenaria",0.708333333333333,0.5,60.4470588235294,108,56.1529411764706,113,3.936,4,11.2411764705882,17.9,2.58823529411765,2,0.012511076684908,0.0125263880189672,0.0388081848812016,0.0263460221055054,0.322382423275052,0.475456521246508,24,2,0.061884,0.085797
"Scolopax","Scolopax","Limnodromus",0.115384615384615,0.666666666666667,115.166666666667,105.5,137.333333333333,112.5,2.66,3.94,18.9333333333333,17.5,3.33333333333333,2,0.0233519077880672,0.00876326295018112,0.0590911130836491,0.0267079371623626,0.3951847675472,0.328114556242498,26,3,0.097124,0.01005
"Buteo","Buteo","Haliaeetus",0.107142857142857,0.285714285714286,554.416666666667,1182.5,677.7,1467.25,3.026,4.975,45.3333333333333,68.375,1.83333333333333,2,0.0084512188115981,0.00275846768512556,0.0196336933443339,0.0180508296398368,0.430444678104186,0.152816670489086,56,14,0.057147,0.017485
"Myiobius","Myiobius","Onychorhynchus",0.2,0.25,12,18.6,NA,15.1,NA,NA,NA,NA,5,2,0.026459279019897,0.0162832818790219,0.0465937970068618,0.0405735638259848,0.567871277286124,0.401327375353542,5,4,0.017354,0.025759
"Mionectes","Mionectes","Colonia",0.029126213592233,0.115755627009646,8,25.3478260869565,NA,25.1222222222222,NA,3.67708333333333,NA,2.76380952380952,5,2,0.00372185681872856,0.0165610940613008,0.0587627365729793,0.0580070471606057,0.063337023355035,0.285501415292656,103,311,0.043842,0.062805
"Ptilonorhynchus","Ptilonorhynchus","Ailuroedus",0.375,0.666666666666667,NA,NA,NA,NA,NA,NA,16.6833333333333,18.45,5,2,0.0051788884836206,0.0171210662405358,0.0355853511706916,0.0291482529461577,0.145534280630789,0.587378813823306,16,3,0.078094,0.067181
"Lichenostomus","Lichenostomus","Manorina",0.6,0.4,24.0083333333333,50.3,21.025,45.1666666666667,2.1125,2.65,2.60833333333333,5.28,2.16666666666667,2,0.00931848063728578,0.00232442673897605,0.0150837313936509,0.0025043876338277,0.61778351749277,0.92814175712224,20,15,0.099919,0.06932
"Loboparadisea","Loboparadisea","Melanocharis",0.666666666666667,0.6,NA,NA,NA,NA,NA,NA,NA,4.15,5,2,0.0278748051214964,0.0212676240394812,0.0602003810981524,0.0640778391680504,0.463033698674574,0.331902952964827,3,10,0.100986,0.030115
"Hirundo","Hirundo","Petrochelidon",0.121212121212121,0.333333333333333,18.8,972.99,19.4,799.78,4.47,3,1.82666666666667,NA,2.25,2,0.00432105965001947,0.00277303357151679,0.0141337172294641,0.0204202847472277,0.30572704829636,0.135797987434689,33,3,0.05196,0.078539
"Sturnus","Sturnus","Acridotheres",0.125,0.142857142857143,81.15,NA,72.6,NA,5.01,4.5,6.8,7.1,2.5,2,0.00627476872930858,0.00365936547549672,0.0148197615900836,0.0182996327613263,0.423405511024363,0.199969339452007,16,7,0.003617,0.011194
"Calcarius","Calcarius","Plectrophenax",1,0.5,24.525,38.7,23.075,36,4.075,5.34,2.38,3.12,2.25,2,0.00557622335232964,0.00740157912118493,0.0113416503687268,0.0289846540675645,0.491658900692741,0.255361996176719,4,2,0.030144,0.043927
"Passerina","Passerina","Pheucticus",0.166666666666667,0.333333333333333,20.0333333333333,44.85,18.0666666666667,46.9,3.30666666666667,3.335,2.24666666666667,4.13,4,2,0.0147769217469648,0.0231280608917761,0.029487241189286,0.0793212894147383,0.501129341063412,0.291574444419946,18,6,4e-06,0.074013
