"","specs_poly","specs_mono","weights_poly","weights_mono","M_mass_poly","M_mass_mono","F_mass_poly","F_mass_mono","overallmol_poly","overallmol_mono","dnmito_poly","dnmito_mono","dsmito_poly","dsmito_mono","dndsmito_poly","dndsmito_mono","sprich_poly","sprich_mono","bea12_poly","bea12_mono","bea3_poly","bea3_mono","nprsds_poly","nprsds_mono","nprsdn_poly","nprsdn_mono","mpldn_mono","mpldn_poly","mplds_poly","mplds_mono"
"1","Dromaius","Apteryx",0.25,0.75,32700,1984.333333,38300,2385.333333,0.046135,0.017488,0.0466760370670374,0.112241380646709,0.195575525943873,0.176370895320108,0.238659908195429,0.636394006182224,4,4,0.00361200787820753,0.00560396762962266,0.930034475968971,0.854438537824093,0.404386929048111,0.364677964626477,0.088901979729053,0.213781665583205,1.41257493686295,0.587425063137052,1.05163278775073,0.948367212249275
"2","Biziura","Stictonetta",1,0.5,2398,969,1551,842,0.037119,0.104085,0.0468354387986734,0.0495506903959164,0.143823466580778,0.147552824648334,0.325645320003245,0.335816616957431,1,2,0.00411433621573844,0.00369115850200783,0.91327268927761,0.865793984193583,0.802158470732253,0.822958526769029,0.138585222200918,0.14661960290893,1.02817056375157,0.971829436248433,0.987200887032283,1.01279911296772
"3","Cairina","Aythya",0.5,0.4,3000,794.5,1250,743.2833333,0.094324,0.041587,0.0361487468605843,0.025801927363344,0.127581081591427,0.114553308828469,0.283339398049228,0.22523947694937,2,15,0.00348548448981746,0.00271606549522082,0.907271806009421,0.879926659662864,0.721152307300973,0.64751279688291,0.104959775732051,0.0749172445716001,0.832982939623216,1.16701706037678,1.05380389270754,0.94619610729246
"4","Alectura","Leipoa",0.333333333,1,2450,2040,2210,1830,0.017688,0.022612,0.0477918001860637,0.0899179541128472,0.121105032698654,0.208337522153218,0.394631000224278,0.431597501897515,3,1,0.00363784329291088,0.00536881728541913,0.824209840365003,0.902727750977169,0.574064447640136,0.987565602456843,0.160475543719556,0.301926952327212,1.30590537425072,0.694094625749277,0.73521183535689,1.26478816464311
"5","Penelopina","Crax",0.041666667,0.115384615,890,1735.666667,890,1537.333333,0.070066,0.064534,0.0687177822681776,0.0633328776638752,0.11553886316148,0.141349651711588,0.594759030752588,0.448058250565063,24,26,0.00390878607783334,0.00473366076782858,0.878713374490516,0.844727301275535,0.565985266777976,0.692423468120375,0.220652404480033,0.203361506700505,0.959220918645366,1.04077908135463,0.899525330811843,1.10047466918816
"6","Threskiornis","Ardea",0.117647059,0.193548387,1806.975,713.2444444,1558.1,772.27,0.091852,0.106649,0.0633626705335152,0.0925530608584141,0.163584319810486,0.190559134901221,0.387339511555395,0.485692070896472,34,62,0.00316728778597753,0.00283538638301302,0.871455899098269,0.833693209220315,0.383133853047722,0.446312065072787,0.112081998542234,0.163716774322589,1.18721901930167,0.812780980698334,0.923830824114217,1.07616917588578
"7","Vanellus","Charadrius",0.130434783,0.40625,136.7,69.31666667,130.65,67.99166667,0.038086,0.070918,0.0156068271362789,0.0769357321430769,0.153018897337081,0.159302329966882,0.101992808782951,0.482954217675732,23,32,0.00267046665058568,0.00283729234816711,0.825371500998901,0.838057175937043,0.545940911744156,0.568358946369251,0.0387334537708753,0.190941220676762,1.66271027605435,0.33728972394565,0.979881506345114,1.02011849365489
"8","Pedionomus","Attagis",1,0.5,54,222.5,72.4,218,0.091274,0.070952,0.0815509517303594,0.121445028921943,0.192778939358915,0.171172388449209,0.423028324575063,0.70948959713779,1,4,0.00459770448140664,0.0055459625299778,0.943890659366587,0.923711422161128,1.70789532281761,1.51647541271943,0.612522166911263,0.912163140926003,1.19652643891465,0.803473561085354,1.05936659453842,0.940633405461578
"9","Calidris","Arenaria",0.75,0.5,60.18888889,108,56.38888889,113,0.061884,0.085797,0.0515686055895892,0.0595698189989353,0.133406572233553,0.127733774223824,0.386552211980298,0.466359186212984,24,2,0.00325392897381963,0.00362724686639145,0.874168483194244,0.778484339679236,1.24628333925854,1.19328809675934,0.297660335468381,0.343844323581895,1.07199322321663,0.928006776783371,1.02172317716004,0.978276822839955
"10","Larus","Rissa",0.239130435,0.25,875.7181818,443,705.8363636,393,4e-06,0.01736,0.0176583937796644,0.0127488934270043,0.085431323362991,0.0733888308433499,0.206696947729995,0.173717080385395,46,4,0.00311351714055763,0.00311750780249221,0.854580285700948,0.852704739976609,0.153115155068509,0.131531875810131,0.0720732316307773,0.0520349676457402,0.838541981095131,1.16145801890487,1.0758247124228,0.924175287577196
