"","specs_poly","specs_mono","weights_poly","weights_mono","M_mass_poly","M_mass_mono","F_mass_poly","F_mass_mono","overallmol_poly","overallmol_mono","dnmito_poly","dnmito_mono","dsmito_poly","dsmito_mono","dndsmito_poly","dndsmito_mono","sprich_poly","sprich_mono","bea12_poly","bea12_mono","bea3_poly","bea3_mono","nprsds_poly","nprsds_mono","nprsdn_poly","nprsdn_mono","mpldn_mono","mpldn_poly","mplds_poly","mplds_mono"
"11","Circus","Accipiter",0.285714286,0.094339623,429.875,335.4,580.75,586,0.044802,0.053207,0.0543747917216796,0.0634930695174935,0.152469796232009,0.12786183666155,0.356626643869446,0.496575609855811,14,53,0.00448052347366948,0.00357204255290992,0.897795158897749,0.883356331992822,0.746169944539548,0.625741372575169,0.144913225155184,0.16921417420554,1.07736017010872,0.922639829891277,1.08778160108603,0.912218398913967
"12","Buteo","Haliaeetus",0.125,0.285714286,541.6428571,1182.5,660.0285714,1467.25,0.057147,0.017485,0.0297159438002025,0.057309348207745,0.109446752312862,0.139013268921492,0.271510512392887,0.4122581150157,56,14,0.00308780792906477,0.00465263898122877,0.840328905301768,0.898684279166787,0.530818716646839,0.674216853825429,0.0914816079722992,0.176428901640782,1.31707339063019,0.682926609369807,0.88100090927408,1.11899909072592
"13","Polytelis","Alisterus",1,0.333333333,141.2666667,221.5,149.8333333,242.9,0.028463,0.099614,0.141922928525738,0.137726786983929,0.0927816865649892,0.0662855537027642,1.52964376678288,2.07777983724055,3,3,0.00475742910378706,0.00491568683098926,0.874348753311266,0.85570028861133,0.143262344522076,0.102350196283082,0.372922715531457,0.36189675577442,0.984995008723105,1.0150049912769,1.16657190265969,0.833428097340315
"14","Myiobius","Onychorhynchus",0.2,0.25,12,18.6,11.4,15.1,0.017354,0.025759,0.0759662007638447,0.102190076720568,0.188875019851542,0.213982836735242,0.40220353556312,0.477562024504828,5,4,0.00419793839446303,0.0049735977395653,0.880919258980377,0.866544677911566,0.75781686889035,0.85855611535308,0.194021353961142,0.260998402544229,1.14719591320052,0.852804086799479,0.937675742266948,1.06232425773305
"15","Ptilonorhynchus","Ailuroedus",0.375,0.666666667,157.8333333,214,153.5,197,0.078094,0.067181,0.0925289309483977,0.179226231644161,0.194506221511231,0.251489516740308,0.475711934710814,0.712658857383837,16,3,0.00466374487120909,0.00786097104352188,0.831157201606219,0.918178701915233,0.933478325960498,1.20695374810827,0.289019468908519,0.559823503344688,1.31902724448237,0.680972755517626,0.872233543189287,1.12776645681071
"16","Lichenostomus","Manorina",0.6,0.4,24.00833333,57.42,21.025,47.46,0.099919,0.06932,0.0373867488856111,0.0698779188879469,0.1447501633342,0.184855544687343,0.258284674949156,0.378013648474193,20,15,0.00294760643125224,0.0047860315325767,0.845148083432308,0.897924224598389,0.699330602316228,0.893091492471915,0.106208988950892,0.198510524084047,1.30290654580618,0.697093454193821,0.878323158922593,1.12167684107741
"17","Vireo","Hylophilus",0.709677419,0.133333333,13.54,9.5,13.36666667,9.5,0.037983,0.030764,0.0521068651160156,0.0797809549956865,0.130591437111463,0.14187152098594,0.399006751656627,0.562346512120589,31,15,0.00302371888444298,0.00399410859744297,0.896530475763028,0.876538654356446,1.14745334154695,1.2465668073376,0.324408771133811,0.496703102602838,1.20983052003007,0.790169479969929,0.95859956908181,1.04140043091819
"18","Epimachus","Manucodia",0.411764706,0.333333333,154.5916667,205.5,124.7416667,157.5,0.018729,0.010212,0.0677756383472149,0.146538809419876,0.195712377948934,0.194920597186076,0.346302257718718,0.751787197122049,34,6,0.00422701068667148,0.00507908990673919,0.868896280496714,0.892167395550053,1.63447573510916,1.62786324356427,0.41502674743102,0.897336077225518,1.36751218545125,0.632487814548752,1.00202691737067,0.997973082629328
"19","Hirundo","Petrochelidon",0.121212121,0.666666667,17.33333333,498.445,17.53333333,411.99,0.05196,0.078539,0.0875580089367159,0.0595388324914065,0.177847057805576,0.147266709709366,0.492321942331119,0.404292542482329,33,3,0.00502898586871723,0.00362274618980616,0.915061906764405,0.81126165799054,2.68986748682517,2.22735163137754,1.04547907374262,0.710918443677983,0.809518843686384,1.19048115631362,1.09406045253007,0.905939547469934
"20","Tachycineta","Riparia",0.111111111,0.25,21.7,12.7,20.7,13.6,0.061713,0.064597,0.0702755690954594,0.0539882741513016,0.146477563382484,0.15981376858887,0.479770194647184,0.337819917695512,9,4,0.00453379703367781,0.00368945252421495,0.937841943002058,0.943949532910148,2.09814303379216,2.28917069294251,0.829307608967452,0.63710457453397,0.868929734357123,1.13107026564288,0.95645908383841,1.04354091616159
"21","Sylvia","Zosterops",0.039215686,0.007731959,16.35,11.83333333,16.2,11.8,0.048397,0.099269,0.140677690186703,0.128970316775321,0.21528037316993,0.248562793834427,0.653462682711257,0.518864125985124,51,388,0.00553409550688339,0.00649662226708816,0.85180225057701,0.895443883932331,2.0584740374781,2.37671484054569,1.08878956133229,0.998179131604479,0.956582755632859,1.04341724436714,0.928246392246231,1.07175360775377
"22","Troglodytes","Thryothorus",0.266666667,0.024390244,9.95,20.3,9.225,18.3,0.063401,0.096634,0.0497317376688101,0.0638938396406025,0.123511467657427,0.159293549341777,0.402648746809053,0.401107514426171,15,41,0.00348320469058249,0.00399670302670458,0.867436664107308,0.908125089948793,1.4222426579915,1.83427567750325,0.318307351706215,0.408951704478585,1.12463832798163,0.875361672018371,0.873474374450543,1.12652562554946
"23","Sturnus","Acridotheres",0.125,0.142857143,81.15,126.8,72.6,114.3,0.003617,0.011194,0.0417987697137648,0.0419666951889905,0.137481208331173,0.13265584376795,0.304032603591012,0.316357681629174,16,7,0.00319428037924233,0.00303150126609246,0.885277186687418,0.802838817849951,2.06038452119789,1.98806840922968,0.488311944017582,0.490273724611104,1.00200471012034,0.997995289879658,1.01786265351505,0.982137346484953
"24","Oenanthe","Saxicola",0.024390244,0.272727273,24.1,15.06666667,23.8,15.6,0.022534,0.009463,0.049605319697439,0.0345191512202574,0.134201833890825,0.114982609521189,0.36963220441379,0.300211930865043,41,11,0.00392326700108965,0.00308488929624807,0.873798207410114,0.779151891023644,1.98674271009948,1.70221862571771,0.58261807175301,0.405429930603496,0.820668489054258,1.17933151094574,1.07712850813025,0.922871491869746
"25","Euplectes","Quelea",0.058823529,0.111111111,25.5,176.2,20.7,282.4,4e-06,0.035126,0.0357208032359078,0.0394242342798687,0.145958247577146,0.154138564562731,0.244733023510902,0.255771385906633,17,9,0.00337028876484989,0.00404441516106215,0.919863609555872,0.859942265264367,2.21403498712812,2.33812189768322,0.318982352831338,0.352053533794138,1.04928377397088,0.950716226029118,0.972741073364777,1.02725892663522
"26","Lonchura","Taeniopygia",0.170731707,0.6,11.975,11.53333333,11.975,11.8,0.041553,0.103449,0.0545368781500189,0.0643098726793336,0.147396050425372,0.10991089150961,0.37000230326817,0.58510918978135,41,10,0.00394247719968949,0.00308816737600013,0.911671959704812,0.770449293548099,2.20995166161247,1.64792582040013,0.656978804687023,0.7747092374122,1.08223190336392,0.917768096636084,1.14568265680618,0.854317343193818
"27","Calcarius","Plectrophenax",1,0.5,24.525,38.7,23.075,36,0.030144,0.043927,0.0257176947267982,0.0312457655382203,0.121783043193259,0.121584821464648,0.211176318578166,0.25698738676279,4,2,0.00363326461015591,0.00361219954123036,0.875372874861352,0.877135999298635,1.37455947968497,1.37232216035875,0.187783955338172,0.228148498637484,1.09704590953048,0.90295409046952,1.00081449425909,0.999185505740909
"28","Myioborus","Basileuterus",0.125,0.2,9.35,13.275,9.45,13.275,0.05054,0.066755,0.0308085280594514,0.0195170840643919,0.0983995785755017,0.102207164840878,0.313096138270674,0.190956124208876,16,25,0.00311097732232145,0.00250419092852197,0.904465067797799,0.840212140878701,2.54289485456267,2.64129254754771,0.606688423266697,0.384334783373625,0.775632257243626,1.22436774275637,0.981019649686085,1.01898035031392
"29","Spizella","Amphispiza",0.857142857,0.5,12.61666667,14.1,12.65,13.4,0.025991,0.108864,0.0558310875644046,0.0494473936176842,0.11657118473522,0.166938707358685,0.478944154948922,0.29620088953631,7,2,0.00334136492807247,0.00386254674974327,0.921563816090078,0.946446439717458,5.21696812994734,7.4710908868522,2.37517298934519,2.10359709684612,0.939363734401913,1.06063626559809,0.822342979811151,1.17765702018885
"30","Zonotrichia","Junco",1,0.25,29.4,18.9,27.64,19.2,0.096385,0.057986,0.0172168381175005,0.0320079626227578,0.0821306429198039,0.092160626740156,0.209627460658159,0.347306260329623,5,4,0.00288106343349687,0.0043851640668779,0.902143140222985,0.833219953067362,3.7095568867861,4.16257654220839,0.786567810421849,1.4623145611537,1.30048114533373,0.699518854666272,0.942452746830518,1.05754725316948
"31","Agelaius","Molothrus",0.4,0.333333333,62.4,43.75,42.55,35.85,0.033326,0.085778,0.0202935092544534,0.0316074917408841,0.111523838149465,0.0987665607527074,0.181965663944025,0.320022196784023,5,6,0.00241703143393429,0.00315940887011574,0.895563661065786,0.838441007394222,3.46960767606317,3.07271721465224,0.627016732824963,0.976589408744667,1.21799160458287,0.782008395417132,1.06066504920509,0.939334950794911
"32","Passerina","Pheucticus",0.222222222,0.333333333,22.35,44.85,20.425,46.9,4e-06,0.074013,0.04290832797064,0.0573811997397542,0.143750038507768,0.139144571843481,0.298492636357251,0.412385470590261,18,6,0.00390482577747238,0.00442472699468271,0.827504081768236,0.801953028792789,2.80782150360348,2.71786446102909,0.702295992597063,0.939178675412737,1.14431089765332,0.855689102346683,1.01627979641807,0.983720203581932
