"","specs_poly","specs_mono","weights_poly","weights_mono","M_mass_poly","M_mass_mono","F_mass_poly","F_mass_mono","overallmol_poly","overallmol_mono","dnmito_poly","dnmito_mono","dsmito_poly","dsmito_mono","dndsmito_poly","dndsmito_mono","sprich_poly","sprich_mono","bea12_poly","bea12_mono","bea3_poly","bea3_mono"
"1","Dromaius","Apteryx",0.25,0.75,32700,1984.333333,38300,2385.333333,0.046135,0.017488,0.039898551,0.104450309,0.192782601,0.184196587,0.206961369,0.567058873,4,4,0.00361200787820753,0.00560396762962266,0.930034475968971,0.854438537824093
"2","Biziura","Stictonetta",1,0.5,2398,969,1551,842,0.037119,0.104085,0.04944446,0.049538609,0.137266103,0.144844622,0.36020881,0.342012067,1,2,0.00411433621573844,0.00369115850200783,0.91327268927761,0.865793984193583
"3","Cairina","Aythya",0.5,0.4,3000,794.5,1250,743.2833333,0.094324,0.041587,0.035453712,0.024551211,0.127375774,0.109047138,0.278339523,0.225143103,2,15,0.00348548448981746,0.00271606549522082,0.907271806009421,0.879926659662864
"4","Alectura","Leipoa",0.333333333,1,2450,2040,2210,1830,0.017688,0.022612,0.043808325,0.088817472,0.118285259,0.200021027,0.370361661,0.444040676,3,1,0.00363784329291088,0.00536881728541913,0.824209840365003,0.902727750977169
"5","Penelopina","Crax",0.041666667,0.115384615,890,1735.666667,890,1537.333333,0.070066,0.064534,0.06182307,0.066734423,0.106807425,0.141075351,0.578827451,0.473040987,24,26,0.00390878607783334,0.00473366076782858,0.878713374490516,0.844727301275535
"6","Threskiornis","Ardea",0.117647059,0.193548387,1806.975,713.2444444,1558.1,772.27,0.091852,0.106649,0.057105758,0.079651897,0.149273028,0.178054682,0.382559115,0.44734514,34,62,0.00316728778597753,0.00283538638301302,0.871455899098269,0.833693209220315
"7","Vanellus","Charadrius",0.130434783,0.40625,136.7,69.31666667,130.65,67.99166667,0.038086,0.070918,0.01116581,0.027981671,0.159822961,0.134929137,0.069863615,0.207380494,23,32,0.00267046665058568,0.00283729234816711,0.825371500998901,0.838057175937043
"8","Pedionomus","Attagis",1,0.5,54,222.5,72.4,218,0.091274,0.070952,0.079195606,0.11400665,0.186901255,0.165731353,0.423729665,0.687900316,1,4,0.00459770448140664,0.0055459625299778,0.943890659366587,0.923711422161128
"9","Calidris","Arenaria",0.75,0.5,60.18888889,108,56.38888889,113,0.061884,0.085797,0.049609414,0.057738021,0.133599823,0.118564363,0.371328442,0.486976179,24,2,0.00325392897381963,0.00362724686639145,0.874168483194244,0.778484339679236
"10","Larus","Rissa",0.239130435,0.25,875.7181818,443,705.8363636,393,4e-06,0.01736,0.016218161,0.013130603,0.082194261,0.070727299,0.197315005,0.185651133,46,4,0.00311351714055763,0.00311750780249221,0.854580285700948,0.852704739976609
"11","Circus","Accipiter",0.285714286,0.094339623,429.875,335.4,580.75,586,0.044802,0.053207,0.052303492,0.060219949,0.141593454,0.126097745,0.369392019,0.477565627,14,53,0.00448052347366948,0.00357204255290992,0.897795158897749,0.883356331992822
