"","genus","Species_name","Mating_System","M_mass","F_mass"
"1099","Ammodramus","Ammodramus_caudacutus",4,16.8,16.9
"1100","Ammodramus","Ammodramus_leconteii",2,13.8,13.8
"1101","Ammodramus","Ammodramus_bairdii",2,18.9,17.8
"1102","Ammodramus","Ammodramus_savannarum",2,17.7,18.4
"1103","Spizella","Spizella_arborea",2,18.6,17.1
"1104","Spizella","Spizella_passerina",3,12.1,13.4
"1105","Spizella","Spizella_pallida",2,11.7,12.2
"1106","Spizella","Spizella_breweri",2,8.9,9
"1107","Spizella","Spizella_pusilla",3,13.2,13
"1108","Spizella","Spizella_atrogularis",2,11.2,11.2
"1110","Amphispiza","Amphispiza_bilineata",2,14.1,13.4
"1114","Pipilo","Pipilo_chlorurus",2,29,29.4
"1115","Pipilo","Pipilo_erythrophthalmus",2,41.7,39.3
"1116","Pipilo","Pipilo_erythrophthalmus_maculatus",2,38.4,NA
"1117","Pipilo","Pipilo_crissalis",2,51.5,51.1
"1118","Pipilo","Pipilo_fuscus",2,47,43
"1124","Vermivora","Vermivora_chrysoptera",2,9.3,9.3
"1125","Vermivora","Vermivora_peregrina",2,9.6,9.5
"1126","Vermivora","Vermivora_celata",2,8.8,9.6
"1127","Vermivora","Vermivora_ruficapilla",2,8.9,8.6
"1128","Vermivora","Vermivora_virginiae",2,8.1,8.3
"1129","Vermivora","Vermivora_luciae",2,NA,NA
"1155","Setophaga","Setophaga_ruticilla",2,8.6,8.7
"1163","Geothlypis","Geothlypis_trichas",3,10.3,9.9
"1166","Myioborus","Myioborus_pictus",3,9.7,9.9
"1167","Myioborus","Myioborus_miniatus",2,NA,NA
"1174","Icteria","Icteria_virens",2,25.4,24.8
"1175","Coereba","Coereba_flaveola",2,10,9.7
"1176","Piranga","Piranga_flava",2,45,39
"1177","Piranga","Piranga_rubra",2,29.1,29.5
"1178","Piranga","Piranga_olivacea",2,29.3,27.3
"1179","Piranga","Piranga_ludoviciana",2,30.3,29.8
"1180","Ramphocelus","Ramphocelus_passerinii",2,31.9,30.2
"1182","Buthraupis","Buthraupis_montana",2,102,101
"1183","Anisognathus","Anisognathus_igniventris",2,34,33
"1185","Cyanerpes","Cyanerpes_cyaneus",2,13.5,14.8
"1188","Pheucticus","Pheucticus_ludovicianus",2,43.6,45.6
"1189","Pheucticus","Pheucticus_melanocephalus",2,46.1,48.2
"1190","Cardinalis","Cardinalis_cardinalis",2,41.7,41
"1191","Cardinalis","Cardinalis_sinuatus",2,37,37
"1194","Passerina","Passerina_cyanea",4,15,14.4
"1195","Passerina","Passerina_ciris",4,16.6,14.6
"1196","Psarocolius","Psarocolius_decumanus",4,305,154.2
"1197","Psarocolius","Psarocolius_wagleri",4,205.6,117.3
"1199","Cacicus","Cacicus_cela",4,104.6,70.5
"1200","Icterus","Icterus_pectoralis",2,NA,NA
"1201","Icterus","Icterus_galbula",2,36.3,35.2
"1202","Icterus","Icterus_galbula_bullockii",2,37.9,37.8
"1203","Icterus","Icterus_spurius",2,20.7,19.4
"1204","Icterus","Icterus_parisorum",2,36.3,35.1
"1206","Agelaius","Agelaius_phoeniceus",4,57.3,39.6
"1207","Agelaius","Agelaius_tricolor",4,67.5,45.5
"1208","Sturnella","Sturnella_magna",3,98.3,77.5
"1209","Sturnella","Sturnella_neglecta",3,106,89.4
"1210","Oreopsar","Oreopsar_bolivianus",2,73.8,65
"1211","Quiscalus","Quiscalus_mexicanus",4,221.5,115.9
"1212","Quiscalus","Quiscalus_major",4,206.5,111.2
"1213","Quiscalus","Quiscalus_quiscula",2,119.6,92.2
"1214","Euphagus","Euphagus_carolinus",2,64.3,55.2
"1215","Euphagus","Euphagus_cyanocephalus",4,67.2,58.1
"1216","Molothrus","Molothrus_bonariensis",2,40,34.1
"1217","Molothrus","Molothrus_ater",2,47.5,37.6
"1219","Buteo","Buteo_galapagoensis",1,36.9,48
"1220","Jacana","Jacana_jacana",1,143.2,260.7
"1222","Phalaropus","Phalaropus_fulicarius",1,819,724
"1223","Alauda","Alauda_razae",2,990,849
"1224","Anas","Anas_penelope",2,1100,990
"1225","Anas","Anas_strepera",2,278,257
"1226","Aythya","Aythya_americana",2,217,222.7
"1227","Bonasa","Bonasa_sewerzowi",2,903,1295
"1228","Brachyramphus","Brachyramphus_marmoratus",2,3200,1700
"1231","Dendrocygna","Dendrocygna_autumnalis",2,NA,NA
"1232","Forpus","Forpus_passerinus",2,66.4,57.4
"1233","Geospiza","Geospiza_fortis",2,346,527
"1234","Haliaeetus","Haliaeetus_leucocephalus",2,813,849
"1235","Himantopus","Himantopus_mexicanus",2,21.4,26.1
"1236","Larus","Larus_occidentalis",2,26.2,25.8
"1237","Leucosticte","Leucosticte_tephrocotis",2,18.3,NA
"1238","Loxioides","Loxioides_bailleui",2,4130,5350
"1239","Loxops","Loxops_coccineus",2,170.4,168.7
"1240","Merops","Merops_bullockoides",2,108.3,142.8
"1242","Petrochelidon","Petrochelidon_pyrrhonota",2,972.99,799.78
"1243","Philetairus","Philetairus_socius",2,24.1,23.6
"1244","Phoeniculus","Phoeniculus_purpureus",2,38.1,37.6
"1245","Pogonocichla","Pogonocichla_stellata",2,10.6,10.4
"1246","Pyrrhula","Pyrrhula_pyrrhula",2,35.8,33.6
"1247","Quelea","Quelea_quelea",2,176.2,282.4
"1248","Saxicola","Saxicola_rubetra",2,NA,NA
"1249","Serinus","Serinus_serinus",2,13585,2193
"1250","Sterna","Sterna_dougallii",2,23.9,24.15
"1251","Sula","Sula_granti",2,50.8,61
"1252","Cinclus","Cinclus_cinclus",3,27.5,27.3
"1253","Emberiza","Emberiza_hortulana",3,77.3,64
"1254","Vireo","Vireo_atricapilla",3,21.4,20.2
"1255","Lagopus","Lagopus_leucura",4,30.9,31.2
"1256","Actitis","Actitis_macularius",5,19.6,17.9
"1257","Actophilornis","Actophilornis_africanus",5,16.5,16.7
"1258","Centrocercus","Centrocercus_urophasianus",5,3.2,3.67
"1259","Chiroxiphia","Chiroxiphia_lanceolata",5,11.6,12.3
"1260","Circus","Circus_cyaneus",5,114.5,113
"1261","Otis","Otis_tarda",5,2060,1280
"1262","Selasphorus","Selasphorus_platycercus",5,1627,1881
"1265","Tetrax","Tetrax_tetrax",5,211,226
"1266","Vanellus","Vanellus_vanellus",5,9.2,8.5
